source,interaction,target
TGFBR1,1,PPP2R2A
MAPK8,1,SMAD3
MAPK14,1,ATF2
SMURF1,-1,RHOA
MAPK14,1,SMAD3
KSR1,1,RAF1
TGFBR1,1,FNTA
ROCK1,-1,CDC25A
MAPK14,1,MEF2C
NEDD4L,-1,SMAD2
ITCH,1,SMAD7
MAPK1,-1,FRS2
PAK1,1,CTBP1
CBL,1,EGFR
CBLB,-1,EGFR
TNK2,1,MCF2
EGFR,1,JAK1
PTK6,1,KHDRBS1
PPM1A,-1,SMAD2
CREBBP,1,SMAD3
KAT2B,1,SMAD2
EP300,1,SMAD3
CREBBP,1,SMAD2
PIAS1,1,SMAD4
PIAS2,1,SMAD4
PRKD1,1,EGFR
EGFR,1,STAT3
CAMK2A,1,EGFR
EGFR,1,VAV2
MAPK3,1,STAT3
PTGS2,-1,KEAP1
PAK1,1,MAP2K1
EGFR,-1,CRK
MAPK3,1,PTPN5
EGFR,1,SHC1
SRC,1,BCAR1
PTPN11,-1,EGFR
PRKCA,1,PLD1
MAPK3,-1,PTPN11
PLK1,1,CDC25C
TRAF6,1,MAP3K5
FOXM1,1,PLK1
FOXM1,1,AURKB
ECT2,1,CDC42
RACGAP1,-1,CDC42
FOXM1,1,CDC25A
PARP1,1,H4C6
FOXM1,1,CDC25B
ECT2,1,RHOA
ADAM17,-1,PTPRF
PTPN6,1,CTNND1
TXN,1,ESR1
PTPN12,-1,JAK2
RPS6KA5,1,CREB1
RHOA,1,ROCK1
RPS6KA5,1,ATF1
PTPN11,-1,PXN
APEX1,1,CCNO
TXN,-1,MAP3K5
LYN,1,CD19
BTK,1,PLCG2
LYN,1,BTK
PRKCQ,1,RASGRP3
PRKD1,1,PLCG1
SYK,1,SHC1
RPS6KA1,1,CREB1
PRKD1,1,SYK
SYK,1,GAB2
PTPN6,-1,LCP2
LYN,1,GAB2
LYN,1,CD22
PRKCB,1,IKBKB
MAPK1,-1,BCL6
CHUK,-1,NFKBIA
CDK6,-1,RB1
BTK,1,PIK3AP1
SYK,1,PIK3AP1
PRKCB,1,CHUK
FYN,1,SYK
LYN,1,SYK
E2F2,1,MIR17HG
TP73,1,FAS
SIAH2,-1,HIPK2
YAP1,1,TP73
ITCH,-1,TP73
